study_accession	sample_accession	secondary_sample_accession	experiment_accession	run_accession	tax_id	scientific_name	instrument_model	library_layout	fastq_ftp	fastq_galaxy	submitted_ftp	submitted_galaxy	sra_ftp	sra_galaxy	cram_index_ftp	cram_index_galaxy
PRJNA303170	SAMN04287674	SRS1174553	SRX1446796	SRR2954256	9606	Homo sapiens	Illumina HiSeq 2000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR295/006/SRR2954256/SRR2954256_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR295/006/SRR2954256/SRR2954256_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR295/006/SRR2954256/SRR2954256_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR295/006/SRR2954256/SRR2954256_2.fastq.gz			ftp.sra.ebi.ac.uk/vol1/srr/SRR295/006/SRR2954256	ftp.sra.ebi.ac.uk/vol1/srr/SRR295/006/SRR2954256		
PRJNA303170	SAMN04287675	SRS1174552	SRX1446797	SRR2954257	9606	Homo sapiens	Illumina HiSeq 2000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR295/007/SRR2954257/SRR2954257_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR295/007/SRR2954257/SRR2954257_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR295/007/SRR2954257/SRR2954257_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR295/007/SRR2954257/SRR2954257_2.fastq.gz			ftp.sra.ebi.ac.uk/vol1/srr/SRR295/007/SRR2954257	ftp.sra.ebi.ac.uk/vol1/srr/SRR295/007/SRR2954257		
PRJNA303170	SAMN04287676	SRS1174551	SRX1446798	SRR2954258	9606	Homo sapiens	Illumina HiSeq 2000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR295/008/SRR2954258/SRR2954258_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR295/008/SRR2954258/SRR2954258_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR295/008/SRR2954258/SRR2954258_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR295/008/SRR2954258/SRR2954258_2.fastq.gz			ftp.sra.ebi.ac.uk/vol1/srr/SRR295/008/SRR2954258	ftp.sra.ebi.ac.uk/vol1/srr/SRR295/008/SRR2954258		
PRJNA303170	SAMN04287677	SRS1174550	SRX1446799	SRR2954259	9606	Homo sapiens	Illumina HiSeq 2000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR295/009/SRR2954259/SRR2954259_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR295/009/SRR2954259/SRR2954259_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR295/009/SRR2954259/SRR2954259_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR295/009/SRR2954259/SRR2954259_2.fastq.gz			ftp.sra.ebi.ac.uk/vol1/srr/SRR295/009/SRR2954259	ftp.sra.ebi.ac.uk/vol1/srr/SRR295/009/SRR2954259		
PRJNA303170	SAMN04287678	SRS1174549	SRX1446800	SRR2954260	9606	Homo sapiens	Illumina HiSeq 2000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR295/000/SRR2954260/SRR2954260_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR295/000/SRR2954260/SRR2954260_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR295/000/SRR2954260/SRR2954260_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR295/000/SRR2954260/SRR2954260_2.fastq.gz			ftp.sra.ebi.ac.uk/vol1/srr/SRR295/000/SRR2954260	ftp.sra.ebi.ac.uk/vol1/srr/SRR295/000/SRR2954260		
PRJNA303170	SAMN04287679	SRS1174548	SRX1446801	SRR2954261	9606	Homo sapiens	Illumina HiSeq 2000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR295/001/SRR2954261/SRR2954261_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR295/001/SRR2954261/SRR2954261_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR295/001/SRR2954261/SRR2954261_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR295/001/SRR2954261/SRR2954261_2.fastq.gz			ftp.sra.ebi.ac.uk/vol1/srr/SRR295/001/SRR2954261	ftp.sra.ebi.ac.uk/vol1/srr/SRR295/001/SRR2954261		
PRJNA303170	SAMN04287680	SRS1174547	SRX1446802	SRR2954262	9606	Homo sapiens	Illumina HiSeq 2000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR295/002/SRR2954262/SRR2954262_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR295/002/SRR2954262/SRR2954262_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR295/002/SRR2954262/SRR2954262_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR295/002/SRR2954262/SRR2954262_2.fastq.gz			ftp.sra.ebi.ac.uk/vol1/srr/SRR295/002/SRR2954262	ftp.sra.ebi.ac.uk/vol1/srr/SRR295/002/SRR2954262		
PRJNA303170	SAMN04287681	SRS1174546	SRX1446803	SRR2954263	9606	Homo sapiens	Illumina HiSeq 2000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR295/003/SRR2954263/SRR2954263_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR295/003/SRR2954263/SRR2954263_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR295/003/SRR2954263/SRR2954263_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR295/003/SRR2954263/SRR2954263_2.fastq.gz			ftp.sra.ebi.ac.uk/vol1/srr/SRR295/003/SRR2954263	ftp.sra.ebi.ac.uk/vol1/srr/SRR295/003/SRR2954263		
PRJNA303170	SAMN04287682	SRS1174544	SRX1446804	SRR2954264	9606	Homo sapiens	Illumina HiSeq 2000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR295/004/SRR2954264/SRR2954264_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR295/004/SRR2954264/SRR2954264_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR295/004/SRR2954264/SRR2954264_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR295/004/SRR2954264/SRR2954264_2.fastq.gz			ftp.sra.ebi.ac.uk/vol1/srr/SRR295/004/SRR2954264	ftp.sra.ebi.ac.uk/vol1/srr/SRR295/004/SRR2954264		
PRJNA303170	SAMN04287683	SRS1174545	SRX1446805	SRR2954265	9606	Homo sapiens	Illumina HiSeq 2000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR295/005/SRR2954265/SRR2954265_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR295/005/SRR2954265/SRR2954265_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR295/005/SRR2954265/SRR2954265_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR295/005/SRR2954265/SRR2954265_2.fastq.gz			ftp.sra.ebi.ac.uk/vol1/srr/SRR295/005/SRR2954265	ftp.sra.ebi.ac.uk/vol1/srr/SRR295/005/SRR2954265		
