Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Cell_type,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,GEO_Accession (exp),Instrument,LibraryLayout,LibrarySelection,LibrarySource,mapki_sensitivity,mapki_treatment,Organism,Platform,ReleaseDate,Sample Name,source_name,SRA Study
SRR1768821,RNA-Seq,200,7941282400,PRJNA273359,SAMN03290916,3744485147,melanoma,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX849782,GSM1588852,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,sensitive,none,Homo sapiens,ILLUMINA,2015-09-15T00:00:00Z,GSM1588852,tumor biopsy,SRP052740
SRR1768824,RNA-Seq,200,7519296400,PRJNA273359,SAMN03290898,3547738506,melanoma,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX849783,GSM1588853,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,resistant,BRAFi,Homo sapiens,ILLUMINA,2015-09-15T00:00:00Z,GSM1588853,tumor biopsy,SRP052740
SRR1768825,RNA-Seq,200,8576215600,PRJNA273359,SAMN03290899,4054244491,melanoma,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX849784,GSM1588854,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,sensitive,none,Homo sapiens,ILLUMINA,2015-09-15T00:00:00Z,GSM1588854,tumor biopsy,SRP052740
SRR1768827,RNA-Seq,200,9859731400,PRJNA273359,SAMN03290913,4667659980,melanoma,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX849785,GSM1588855,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,resistant,BRAFi,Homo sapiens,ILLUMINA,2015-09-15T00:00:00Z,GSM1588855,tumor biopsy,SRP052740
SRR1768829,RNA-Seq,200,8621959400,PRJNA273359,SAMN03290889,4071343572,melanoma,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX849786,GSM1588856,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,resistant,BRAFi,Homo sapiens,ILLUMINA,2015-09-15T00:00:00Z,GSM1588856,tumor biopsy,SRP052740
SRR1768831,RNA-Seq,200,7579861000,PRJNA273359,SAMN03290890,3392415675,melanoma,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX849787,GSM1588857,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,sensitive,none,Homo sapiens,ILLUMINA,2015-09-15T00:00:00Z,GSM1588857,tumor biopsy,SRP052740
SRR1768833,RNA-Seq,200,4674764600,PRJNA273359,SAMN03290908,2204591214,melanoma,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX849788,GSM1588858,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,resistant,BRAFi,Homo sapiens,ILLUMINA,2015-09-15T00:00:00Z,GSM1588858,tumor biopsy,SRP052740
SRR1768834,RNA-Seq,200,4459220400,PRJNA273359,SAMN03290908,2084290905,melanoma,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX849788,GSM1588858,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,resistant,BRAFi,Homo sapiens,ILLUMINA,2015-09-15T00:00:00Z,GSM1588858,tumor biopsy,SRP052740
SRR1768836,RNA-Seq,200,7260870800,PRJNA273359,SAMN03290909,3257883685,melanoma,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX849789,GSM1588859,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,resistant,BRAFi,Homo sapiens,ILLUMINA,2015-09-15T00:00:00Z,GSM1588859,tumor biopsy,SRP052740
SRR1768838,RNA-Seq,200,11898147800,PRJNA273359,SAMN03290920,5327345774,melanoma,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX849790,GSM1588860,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,resistant,BRAFi,Homo sapiens,ILLUMINA,2015-09-15T00:00:00Z,GSM1588860,tumor biopsy,SRP052740
