Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,GEO_Accession (exp),Instrument,LibraryLayout,LibrarySelection,LibrarySource,mapki_treatment,mapki_type,Organism,Platform,ReleaseDate,Sample Name,source_name,SRA Study,Cell_Line
SRR2954256,RNA-Seq,200,12384067800,PRJNA303170,SAMN04287674,5432724646,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1446796,GSM1949045,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,none,none,Homo sapiens,ILLUMINA,2017-09-05T00:00:00Z,GSM1949045,tumor biopsy,SRP066571,
SRR2954257,RNA-Seq,200,14671431200,PRJNA303170,SAMN04287675,6397046297,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1446797,GSM1949046,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,on-treatment,BRAFi,Homo sapiens,ILLUMINA,2017-09-05T00:00:00Z,GSM1949046,tumor biopsy,SRP066571,
SRR2954258,RNA-Seq,200,15515374600,PRJNA303170,SAMN04287676,7165276567,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1446798,GSM1949047,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,none,none,Homo sapiens,ILLUMINA,2017-09-05T00:00:00Z,GSM1949047,tumor biopsy,SRP066571,
SRR2954259,RNA-Seq,200,13787385000,PRJNA303170,SAMN04287677,6382415032,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1446799,GSM1949048,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,on-treatment,BRAFi,Homo sapiens,ILLUMINA,2017-09-05T00:00:00Z,GSM1949048,tumor biopsy,SRP066571,
SRR2954260,RNA-Seq,200,9737174400,PRJNA303170,SAMN04287678,4407285670,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1446800,GSM1949049,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,none,none,Homo sapiens,ILLUMINA,2017-09-05T00:00:00Z,GSM1949049,tumor biopsy,SRP066571,
SRR2954261,RNA-Seq,200,10699969400,PRJNA303170,SAMN04287679,4864178793,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1446801,GSM1949050,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,on-treatment,BRAFi+MEKi,Homo sapiens,ILLUMINA,2017-09-05T00:00:00Z,GSM1949050,tumor biopsy,SRP066571,
SRR2954262,RNA-Seq,200,18863337200,PRJNA303170,SAMN04287680,8284784246,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1446802,GSM1949051,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,none,none,Homo sapiens,ILLUMINA,2017-09-05T00:00:00Z,GSM1949051,tumor biopsy,SRP066571,
SRR2954263,RNA-Seq,200,18986124600,PRJNA303170,SAMN04287681,8321123070,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1446803,GSM1949052,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,on-treatment,BRAFi+MEKi,Homo sapiens,ILLUMINA,2017-09-05T00:00:00Z,GSM1949052,tumor biopsy,SRP066571,
SRR2954264,RNA-Seq,200,13073294600,PRJNA303170,SAMN04287682,5704779485,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1446804,GSM1949053,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,on-treatment,BRAFi+MEKi,Homo sapiens,ILLUMINA,2017-09-05T00:00:00Z,GSM1949053,tumor biopsy,SRP066571,
SRR2954265,RNA-Seq,200,14524007000,PRJNA303170,SAMN04287683,6334544678,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1446805,GSM1949054,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,none,none,Homo sapiens,ILLUMINA,2017-09-05T00:00:00Z,GSM1949054,tumor biopsy,SRP066571,
