patient_biospecimen	biosample_accession	local_fastq_r1	local_fastq_r2
M229-DMSO2D	SAMN03290952	/media/hugolab/DataRAID1/projects/samples/PRJNA273359/SRR1768954_1.fastq.gz;/media/hugolab/DataRAID1/projects/samples/PRJNA273359/SRR1768955_1.fastq.gz;/media/hugolab/DataRAID1/projects/samples/PRJNA273359/SRR1768956_1.fastq.gz;/media/hugolab/DataRAID1/projects/samples/PRJNA273359/SRR1768957_1.fastq.gz;/media/hugolab/DataRAID1/projects/samples/PRJNA273359/SRR1768958_1.fastq.gz;/media/hugolab/DataRAID1/projects/samples/PRJNA273359/SRR1768959_1.fastq.gz;/media/hugolab/DataRAID1/projects/samples/PRJNA273359/SRR1768960_1.fastq.gz;/media/hugolab/DataRAID1/projects/samples/PRJNA273359/SRR1768961_1.fastq.gz	/media/hugolab/DataRAID1/projects/samples/PRJNA273359/SRR1768954_2.fastq.gz;/media/hugolab/DataRAID1/projects/samples/PRJNA273359/SRR1768955_2.fastq.gz;/media/hugolab/DataRAID1/projects/samples/PRJNA273359/SRR1768956_2.fastq.gz;/media/hugolab/DataRAID1/projects/samples/PRJNA273359/SRR1768957_2.fastq.gz;/media/hugolab/DataRAID1/projects/samples/PRJNA273359/SRR1768958_2.fastq.gz;/media/hugolab/DataRAID1/projects/samples/PRJNA273359/SRR1768959_2.fastq.gz;/media/hugolab/DataRAID1/projects/samples/PRJNA273359/SRR1768960_2.fastq.gz;/media/hugolab/DataRAID1/projects/samples/PRJNA273359/SRR1768961_2.fastq.gz
M229DDRpoly-PLXAZD	SAMN03290944	/media/hugolab/DataRAID1/projects/samples/PRJNA273359/SRR1768970_1.fastq.gz;/media/hugolab/DataRAID1/projects/samples/PRJNA273359/SRR1768971_1.fastq.gz	/media/hugolab/DataRAID1/projects/samples/PRJNA273359/SRR1768970_2.fastq.gz;/media/hugolab/DataRAID1/projects/samples/PRJNA273359/SRR1768971_2.fastq.gz
M229R5-PLX	SAMN03290954	/media/hugolab/DataRAID1/projects/samples/PRJNA273359/SRR1768962_1.fastq.gz;/media/hugolab/DataRAID1/projects/samples/PRJNA273359/SRR1768963_1.fastq.gz;/media/hugolab/DataRAID1/projects/samples/PRJNA273359/SRR1768964_1.fastq.gz;/media/hugolab/DataRAID1/projects/samples/PRJNA273359/SRR1768965_1.fastq.gz;/media/hugolab/DataRAID1/projects/samples/PRJNA273359/SRR1768966_1.fastq.gz;/media/hugolab/DataRAID1/projects/samples/PRJNA273359/SRR1768967_1.fastq.gz;/media/hugolab/DataRAID1/projects/samples/PRJNA273359/SRR1768968_1.fastq.gz;/media/hugolab/DataRAID1/projects/samples/PRJNA273359/SRR1768969_1.fastq.gz	/media/hugolab/DataRAID1/projects/samples/PRJNA273359/SRR1768962_2.fastq.gz;/media/hugolab/DataRAID1/projects/samples/PRJNA273359/SRR1768963_2.fastq.gz;/media/hugolab/DataRAID1/projects/samples/PRJNA273359/SRR1768964_2.fastq.gz;/media/hugolab/DataRAID1/projects/samples/PRJNA273359/SRR1768965_2.fastq.gz;/media/hugolab/DataRAID1/projects/samples/PRJNA273359/SRR1768966_2.fastq.gz;/media/hugolab/DataRAID1/projects/samples/PRJNA273359/SRR1768967_2.fastq.gz;/media/hugolab/DataRAID1/projects/samples/PRJNA273359/SRR1768968_2.fastq.gz;/media/hugolab/DataRAID1/projects/samples/PRJNA273359/SRR1768969_2.fastq.gz
M238-DMSO2D	SAMN03290951	/media/hugolab/DataRAID1/projects/samples/PRJNA273359/SRR1768972_1.fastq.gz;/media/hugolab/DataRAID1/projects/samples/PRJNA273359/SRR1768973_1.fastq.gz;/media/hugolab/DataRAID1/projects/samples/PRJNA273359/SRR1768974_1.fastq.gz;/media/hugolab/DataRAID1/projects/samples/PRJNA273359/SRR1768975_1.fastq.gz;/media/hugolab/DataRAID1/projects/samples/PRJNA273359/SRR1768976_1.fastq.gz;/media/hugolab/DataRAID1/projects/samples/PRJNA273359/SRR1768977_1.fastq.gz	/media/hugolab/DataRAID1/projects/samples/PRJNA273359/SRR1768972_2.fastq.gz;/media/hugolab/DataRAID1/projects/samples/PRJNA273359/SRR1768973_2.fastq.gz;/media/hugolab/DataRAID1/projects/samples/PRJNA273359/SRR1768974_2.fastq.gz;/media/hugolab/DataRAID1/projects/samples/PRJNA273359/SRR1768975_2.fastq.gz;/media/hugolab/DataRAID1/projects/samples/PRJNA273359/SRR1768976_2.fastq.gz;/media/hugolab/DataRAID1/projects/samples/PRJNA273359/SRR1768977_2.fastq.gz
M238R1-PLX	SAMN03290932	/media/hugolab/DataRAID1/projects/samples/PRJNA273359/SRR1768978_1.fastq.gz;/media/hugolab/DataRAID1/projects/samples/PRJNA273359/SRR1768979_1.fastq.gz;/media/hugolab/DataRAID1/projects/samples/PRJNA273359/SRR1768980_1.fastq.gz;/media/hugolab/DataRAID1/projects/samples/PRJNA273359/SRR1768981_1.fastq.gz;/media/hugolab/DataRAID1/projects/samples/PRJNA273359/SRR1768982_1.fastq.gz;/media/hugolab/DataRAID1/projects/samples/PRJNA273359/SRR1768983_1.fastq.gz	/media/hugolab/DataRAID1/projects/samples/PRJNA273359/SRR1768978_2.fastq.gz;/media/hugolab/DataRAID1/projects/samples/PRJNA273359/SRR1768979_2.fastq.gz;/media/hugolab/DataRAID1/projects/samples/PRJNA273359/SRR1768980_2.fastq.gz;/media/hugolab/DataRAID1/projects/samples/PRJNA273359/SRR1768981_2.fastq.gz;/media/hugolab/DataRAID1/projects/samples/PRJNA273359/SRR1768982_2.fastq.gz;/media/hugolab/DataRAID1/projects/samples/PRJNA273359/SRR1768983_2.fastq.gz
Pt1-baseline	SAMN03290916	/media/hugolab/DataRAID1/projects/samples/PRJNA273359/SRR1768821_1.fastq.gz;/media/hugolab/DataRAID1/projects/samples/PRJNA273359/SRR1768822_1.fastq.gz	/media/hugolab/DataRAID1/projects/samples/PRJNA273359/SRR1768821_2.fastq.gz;/media/hugolab/DataRAID1/projects/samples/PRJNA273359/SRR1768822_2.fastq.gz
Pt1-DP1	SAMN03290898	/media/hugolab/DataRAID1/projects/samples/PRJNA273359/SRR1768823_1.fastq.gz;/media/hugolab/DataRAID1/projects/samples/PRJNA273359/SRR1768824_1.fastq.gz	/media/hugolab/DataRAID1/projects/samples/PRJNA273359/SRR1768823_2.fastq.gz;/media/hugolab/DataRAID1/projects/samples/PRJNA273359/SRR1768824_2.fastq.gz
Pt10-baseline	SAMN03290893	/media/hugolab/DataRAID1/projects/samples/PRJNA273359/SRR1768875_1.fastq.gz;/media/hugolab/DataRAID1/projects/samples/PRJNA273359/SRR1768876_1.fastq.gz	/media/hugolab/DataRAID1/projects/samples/PRJNA273359/SRR1768875_2.fastq.gz;/media/hugolab/DataRAID1/projects/samples/PRJNA273359/SRR1768876_2.fastq.gz
Pt10-DP1	SAMN03290907	/media/hugolab/DataRAID1/projects/samples/PRJNA273359/SRR1768877_1.fastq.gz;/media/hugolab/DataRAID1/projects/samples/PRJNA273359/SRR1768878_1.fastq.gz	/media/hugolab/DataRAID1/projects/samples/PRJNA273359/SRR1768877_2.fastq.gz;/media/hugolab/DataRAID1/projects/samples/PRJNA273359/SRR1768878_2.fastq.gz
Pt10-DP2	SAMN03290892	/media/hugolab/DataRAID1/projects/samples/PRJNA273359/SRR1768879_1.fastq.gz;/media/hugolab/DataRAID1/projects/samples/PRJNA273359/SRR1768880_1.fastq.gz	/media/hugolab/DataRAID1/projects/samples/PRJNA273359/SRR1768879_2.fastq.gz;/media/hugolab/DataRAID1/projects/samples/PRJNA273359/SRR1768880_2.fastq.gz
