PRJNA_ID	run_accession	geo_accession	sample_accession	title	fastq_ftp
PRJNA273359	SRR1768821	GSM1588852	SAMN03290916	Pt1-baseline	ftp.sra.ebi.ac.uk/vol1/fastq/SRR176/001/SRR1768821/SRR1768821_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR176/001/SRR1768821/SRR1768821_2.fastq.gz
PRJNA273359	SRR1768822	GSM1588852	SAMN03290916	Pt1-baseline	ftp.sra.ebi.ac.uk/vol1/fastq/SRR176/002/SRR1768822/SRR1768822_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR176/002/SRR1768822/SRR1768822_2.fastq.gz
PRJNA273359	SRR1768823	GSM1588853	SAMN03290898	Pt1-DP1	ftp.sra.ebi.ac.uk/vol1/fastq/SRR176/003/SRR1768823/SRR1768823_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR176/003/SRR1768823/SRR1768823_2.fastq.gz
PRJNA273359	SRR1768824	GSM1588853	SAMN03290898	Pt1-DP1	ftp.sra.ebi.ac.uk/vol1/fastq/SRR176/004/SRR1768824/SRR1768824_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR176/004/SRR1768824/SRR1768824_2.fastq.gz
PRJNA273359	SRR1768825	GSM1588854	SAMN03290899	Pt2-baseline	ftp.sra.ebi.ac.uk/vol1/fastq/SRR176/005/SRR1768825/SRR1768825_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR176/005/SRR1768825/SRR1768825_2.fastq.gz
PRJNA273359	SRR1768826	GSM1588854	SAMN03290899	Pt2-baseline	ftp.sra.ebi.ac.uk/vol1/fastq/SRR176/006/SRR1768826/SRR1768826_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR176/006/SRR1768826/SRR1768826_2.fastq.gz
PRJNA273359	SRR1768827	GSM1588855	SAMN03290913	Pt2-DP1	ftp.sra.ebi.ac.uk/vol1/fastq/SRR176/007/SRR1768827/SRR1768827_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR176/007/SRR1768827/SRR1768827_2.fastq.gz
PRJNA273359	SRR1768828	GSM1588855	SAMN03290913	Pt2-DP1	ftp.sra.ebi.ac.uk/vol1/fastq/SRR176/008/SRR1768828/SRR1768828_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR176/008/SRR1768828/SRR1768828_2.fastq.gz
PRJNA273359	SRR1768829	GSM1588856	SAMN03290889	Pt2-DP2	ftp.sra.ebi.ac.uk/vol1/fastq/SRR176/009/SRR1768829/SRR1768829_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR176/009/SRR1768829/SRR1768829_2.fastq.gz
PRJNA273359	SRR1768830	GSM1588856	SAMN03290889	Pt2-DP2	ftp.sra.ebi.ac.uk/vol1/fastq/SRR176/000/SRR1768830/SRR1768830_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR176/000/SRR1768830/SRR1768830_2.fastq.gz
PRJNA273359	SRR1768831	GSM1588857	SAMN03290890	Pt3-baseline	ftp.sra.ebi.ac.uk/vol1/fastq/SRR176/001/SRR1768831/SRR1768831_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR176/001/SRR1768831/SRR1768831_2.fastq.gz
PRJNA273359	SRR1768832	GSM1588857	SAMN03290890	Pt3-baseline	ftp.sra.ebi.ac.uk/vol1/fastq/SRR176/002/SRR1768832/SRR1768832_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR176/002/SRR1768832/SRR1768832_2.fastq.gz
PRJNA273359	SRR1768833	GSM1588858	SAMN03290908	Pt3-DP1	ftp.sra.ebi.ac.uk/vol1/fastq/SRR176/003/SRR1768833/SRR1768833_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR176/003/SRR1768833/SRR1768833_2.fastq.gz
PRJNA273359	SRR1768834	GSM1588858	SAMN03290908	Pt3-DP1	ftp.sra.ebi.ac.uk/vol1/fastq/SRR176/004/SRR1768834/SRR1768834_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR176/004/SRR1768834/SRR1768834_2.fastq.gz
PRJNA273359	SRR1768835	GSM1588858	SAMN03290908	Pt3-DP1	ftp.sra.ebi.ac.uk/vol1/fastq/SRR176/005/SRR1768835/SRR1768835_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR176/005/SRR1768835/SRR1768835_2.fastq.gz
